date_key,order_date,month_name,day_name,year,month,week,week_day,day
1,2024-01-01,January,Monday,2024,1,1,2,1
2,2024-01-02,January,Tuesday,2024,1,1,3,2
3,2024-01-03,January,Wednesday,2024,1,1,4,3
4,2024-01-04,January,Thursday,2024,1,1,5,4
5,2024-01-05,January,Friday,2024,1,1,6,5
6,2024-01-06,January,Saturday,2024,1,1,7,6
7,2024-01-07,January,Sunday,2024,1,2,1,7
8,2024-01-08,January,Monday,2024,1,2,2,8
9,2024-01-09,January,Tuesday,2024,1,2,3,9
10,2024-01-10,January,Wednesday,2024,1,2,4,10
11,2024-01-11,January,Thursday,2024,1,2,5,11
12,2024-01-12,January,Friday,2024,1,2,6,12
13,2024-01-13,January,Saturday,2024,1,2,7,13
14,2024-01-14,January,Sunday,2024,1,3,1,14
15,2024-01-15,January,Monday,2024,1,3,2,15
16,2024-01-16,January,Tuesday,2024,1,3,3,16
17,2024-01-17,January,Wednesday,2024,1,3,4,17
18,2024-01-18,January,Thursday,2024,1,3,5,18
19,2024-01-19,January,Friday,2024,1,3,6,19
20,2024-01-20,January,Saturday,2024,1,3,7,20
21,2024-01-21,January,Sunday,2024,1,4,1,21
22,2024-01-22,January,Monday,2024,1,4,2,22
23,2024-01-23,January,Tuesday,2024,1,4,3,23
24,2024-01-24,January,Wednesday,2024,1,4,4,24
25,2024-01-25,January,Thursday,2024,1,4,5,25
26,2024-01-26,January,Friday,2024,1,4,6,26
27,2024-01-27,January,Saturday,2024,1,4,7,27
28,2024-01-28,January,Sunday,2024,1,5,1,28
29,2024-01-29,January,Monday,2024,1,5,2,29
30,2024-01-30,January,Tuesday,2024,1,5,3,30
31,2024-01-31,January,Wednesday,2024,1,5,4,31
32,2024-02-01,February,Thursday,2024,2,5,5,1
33,2024-02-02,February,Friday,2024,2,5,6,2
34,2024-02-03,February,Saturday,2024,2,5,7,3
35,2024-02-04,February,Sunday,2024,2,6,1,4
36,2024-02-05,February,Monday,2024,2,6,2,5
37,2024-02-06,February,Tuesday,2024,2,6,3,6
38,2024-02-07,February,Wednesday,2024,2,6,4,7
39,2024-02-08,February,Thursday,2024,2,6,5,8
40,2024-02-09,February,Friday,2024,2,6,6,9
41,2024-02-10,February,Saturday,2024,2,6,7,10
42,2024-02-11,February,Sunday,2024,2,7,1,11
43,2024-02-12,February,Monday,2024,2,7,2,12
44,2024-02-13,February,Tuesday,2024,2,7,3,13
45,2024-02-14,February,Wednesday,2024,2,7,4,14
46,2024-02-15,February,Thursday,2024,2,7,5,15
47,2024-02-16,February,Friday,2024,2,7,6,16
48,2024-02-17,February,Saturday,2024,2,7,7,17
49,2024-02-18,February,Sunday,2024,2,8,1,18
50,2024-02-19,February,Monday,2024,2,8,2,19
51,2024-02-20,February,Tuesday,2024,2,8,3,20
52,2024-02-21,February,Wednesday,2024,2,8,4,21
53,2024-02-22,February,Thursday,2024,2,8,5,22
54,2024-02-23,February,Friday,2024,2,8,6,23
55,2024-02-24,February,Saturday,2024,2,8,7,24
56,2024-02-25,February,Sunday,2024,2,9,1,25
57,2024-02-26,February,Monday,2024,2,9,2,26
58,2024-02-27,February,Tuesday,2024,2,9,3,27
59,2024-02-28,February,Wednesday,2024,2,9,4,28
60,2024-02-29,February,Thursday,2024,2,9,5,29
61,2024-03-01,March,Friday,2024,3,9,6,1
62,2024-03-02,March,Saturday,2024,3,9,7,2
63,2024-03-03,March,Sunday,2024,3,10,1,3
64,2024-03-04,March,Monday,2024,3,10,2,4
65,2024-03-05,March,Tuesday,2024,3,10,3,5
66,2024-03-06,March,Wednesday,2024,3,10,4,6
67,2024-03-07,March,Thursday,2024,3,10,5,7
68,2024-03-08,March,Friday,2024,3,10,6,8
69,2024-03-09,March,Saturday,2024,3,10,7,9
70,2024-03-10,March,Sunday,2024,3,11,1,10
71,2024-03-11,March,Monday,2024,3,11,2,11
72,2024-03-12,March,Tuesday,2024,3,11,3,12
73,2024-03-13,March,Wednesday,2024,3,11,4,13
74,2024-03-14,March,Thursday,2024,3,11,5,14
75,2024-03-15,March,Friday,2024,3,11,6,15
76,2024-03-16,March,Saturday,2024,3,11,7,16
77,2024-03-17,March,Sunday,2024,3,12,1,17
78,2024-03-18,March,Monday,2024,3,12,2,18
79,2024-03-19,March,Tuesday,2024,3,12,3,19
80,2024-03-20,March,Wednesday,2024,3,12,4,20
81,2024-03-21,March,Thursday,2024,3,12,5,21
82,2024-03-22,March,Friday,2024,3,12,6,22
83,2024-03-23,March,Saturday,2024,3,12,7,23
84,2024-03-24,March,Sunday,2024,3,13,1,24
85,2024-03-25,March,Monday,2024,3,13,2,25
86,2024-03-26,March,Tuesday,2024,3,13,3,26
87,2024-03-27,March,Wednesday,2024,3,13,4,27
88,2024-03-28,March,Thursday,2024,3,13,5,28
89,2024-03-29,March,Friday,2024,3,13,6,29
90,2024-03-30,March,Saturday,2024,3,13,7,30
91,2024-03-31,March,Sunday,2024,3,14,1,31
92,2024-04-01,April,Monday,2024,4,14,2,1
93,2024-04-02,April,Tuesday,2024,4,14,3,2
94,2024-04-03,April,Wednesday,2024,4,14,4,3
95,2024-04-04,April,Thursday,2024,4,14,5,4
96,2024-04-05,April,Friday,2024,4,14,6,5
97,2024-04-06,April,Saturday,2024,4,14,7,6
98,2024-04-07,April,Sunday,2024,4,15,1,7
99,2024-04-08,April,Monday,2024,4,15,2,8
100,2024-04-09,April,Tuesday,2024,4,15,3,9
101,2024-04-10,April,Wednesday,2024,4,15,4,10
102,2024-04-11,April,Thursday,2024,4,15,5,11
103,2024-04-12,April,Friday,2024,4,15,6,12
104,2024-04-13,April,Saturday,2024,4,15,7,13
105,2024-04-14,April,Sunday,2024,4,16,1,14
106,2024-04-15,April,Monday,2024,4,16,2,15
107,2024-04-16,April,Tuesday,2024,4,16,3,16
108,2024-04-17,April,Wednesday,2024,4,16,4,17
109,2024-04-18,April,Thursday,2024,4,16,5,18
110,2024-04-19,April,Friday,2024,4,16,6,19
111,2024-04-20,April,Saturday,2024,4,16,7,20
112,2024-04-21,April,Sunday,2024,4,17,1,21
113,2024-04-22,April,Monday,2024,4,17,2,22
114,2024-04-23,April,Tuesday,2024,4,17,3,23
115,2024-04-24,April,Wednesday,2024,4,17,4,24
116,2024-04-25,April,Thursday,2024,4,17,5,25
117,2024-04-26,April,Friday,2024,4,17,6,26
118,2024-04-27,April,Saturday,2024,4,17,7,27
119,2024-04-28,April,Sunday,2024,4,18,1,28
120,2024-04-29,April,Monday,2024,4,18,2,29
121,2024-04-30,April,Tuesday,2024,4,18,3,30
122,2024-05-01,May,Wednesday,2024,5,18,4,1
123,2024-05-02,May,Thursday,2024,5,18,5,2
124,2024-05-03,May,Friday,2024,5,18,6,3
125,2024-05-04,May,Saturday,2024,5,18,7,4
126,2024-05-05,May,Sunday,2024,5,19,1,5
127,2024-05-06,May,Monday,2024,5,19,2,6
128,2024-05-07,May,Tuesday,2024,5,19,3,7
129,2024-05-08,May,Wednesday,2024,5,19,4,8
130,2024-05-09,May,Thursday,2024,5,19,5,9
131,2024-05-10,May,Friday,2024,5,19,6,10
132,2024-05-11,May,Saturday,2024,5,19,7,11
133,2024-05-12,May,Sunday,2024,5,20,1,12
134,2024-05-13,May,Monday,2024,5,20,2,13
135,2024-05-14,May,Tuesday,2024,5,20,3,14
136,2024-05-15,May,Wednesday,2024,5,20,4,15
137,2024-05-16,May,Thursday,2024,5,20,5,16
138,2024-05-17,May,Friday,2024,5,20,6,17
139,2024-05-18,May,Saturday,2024,5,20,7,18
140,2024-05-19,May,Sunday,2024,5,21,1,19
141,2024-05-20,May,Monday,2024,5,21,2,20
142,2024-05-21,May,Tuesday,2024,5,21,3,21
143,2024-05-22,May,Wednesday,2024,5,21,4,22
144,2024-05-23,May,Thursday,2024,5,21,5,23
145,2024-05-24,May,Friday,2024,5,21,6,24
146,2024-05-25,May,Saturday,2024,5,21,7,25
147,2024-05-26,May,Sunday,2024,5,22,1,26
148,2024-05-27,May,Monday,2024,5,22,2,27
149,2024-05-28,May,Tuesday,2024,5,22,3,28
150,2024-05-29,May,Wednesday,2024,5,22,4,29
151,2024-05-30,May,Thursday,2024,5,22,5,30
152,2024-05-31,May,Friday,2024,5,22,6,31
153,2024-06-01,June,Saturday,2024,6,22,7,1
154,2024-06-02,June,Sunday,2024,6,23,1,2
155,2024-06-03,June,Monday,2024,6,23,2,3
156,2024-06-04,June,Tuesday,2024,6,23,3,4
157,2024-06-05,June,Wednesday,2024,6,23,4,5
158,2024-06-06,June,Thursday,2024,6,23,5,6
159,2024-06-07,June,Friday,2024,6,23,6,7
160,2024-06-08,June,Saturday,2024,6,23,7,8
161,2024-06-09,June,Sunday,2024,6,24,1,9
162,2024-06-10,June,Monday,2024,6,24,2,10
