order_key,customer_key,date_key,geo_key,channel_key,payment_key,discount_rate_level_key,flag_key,campaign_key,total_items,unique_products,subtotal,discount_amount,discount_rate,shipping_cost,tax_amount,revenue,profit,profit_margin,days_to_ship,days_to_deliver,ship_to_delivery_days,order_date,ship_date,delivery_date
1,931,667,19,9,10,1,14,NULL,3,3,70.89,0.00,0.00,23.10,4.96,98.95,24.87,25.13,0,0,0,2025-10-28,2025-10-28,2025-10-28
2,12065,478,18,9,7,5,19,NULL,4,4,190.10,33.59,19.43,5.44,10.96,172.91,52.96,30.63,1,4,3,2025-04-22,2025-04-23,2025-04-26
3,7971,579,18,6,18,5,17,NULL,6,6,278.21,39.29,15.37,0.00,16.72,255.64,71.17,27.84,1,NULL,NULL,2025-08-01,2025-08-02,NULL
4,6995,694,18,20,14,1,16,3,3,2,96.50,0.00,0.00,6.17,6.76,109.43,46.55,42.54,2,4,2,2025-11-24,2025-11-26,2025-11-28
5,1905,381,20,20,10,1,19,4,4,4,50.65,0.00,0.00,5.84,3.55,60.04,14.76,24.58,1,3,2,2025-01-15,2025-01-16,2025-01-18
6,18780,419,19,3,6,1,19,NULL,1,1,34.34,0.00,0.00,6.75,2.40,43.49,13.84,31.82,2,4,2,2025-02-22,2025-02-24,2025-02-26
7,13404,51,5,3,6,4,12,NULL,2,2,100.06,16.98,14.19,25.81,10.80,119.69,28.13,23.50,0,NULL,NULL,2024-02-20,2024-02-20,NULL
8,819,574,5,21,6,5,19,NULL,7,6,414.04,65.60,16.35,7.53,45.30,401.27,86.00,21.43,0,2,2,2025-07-27,2025-07-27,2025-07-29
9,11761,607,18,6,10,1,6,NULL,4,3,339.14,0.00,0.00,15.55,23.74,378.43,154.73,40.89,0,2,2,2025-08-29,2025-08-29,2025-08-31
10,19695,368,19,21,10,1,9,NULL,8,7,147.84,0.00,0.00,12.88,10.35,171.07,68.29,39.92,1,3,2,2025-01-02,2025-01-03,2025-01-05
11,18339,435,6,2,14,7,19,NULL,3,3,93.13,25.41,31.14,5.08,8.80,81.60,1.82,2.23,1,6,5,2025-03-10,2025-03-11,2025-03-16
12,17329,106,19,8,6,1,19,6,1,1,11.49,0.00,0.00,5.62,0.80,17.91,5.50,30.71,0,4,4,2024-04-15,2024-04-15,2024-04-19
13,14699,105,17,3,12,3,20,NULL,3,3,108.54,5.93,5.10,6.38,7.18,116.17,44.02,37.89,0,3,3,2024-04-14,2024-04-14,2024-04-17
14,15547,284,18,10,6,1,17,NULL,3,3,92.26,0.00,0.00,6.58,6.46,105.30,43.12,40.95,1,NULL,NULL,2024-10-10,2024-10-11,NULL
15,16716,138,5,12,18,1,4,NULL,1,1,55.14,0.00,0.00,3.71,7.17,66.02,26.76,40.53,2,8,6,2024-05-17,2024-05-19,2024-05-25
