order_item_id,order_id,product_id,product_name,category,quantity,unit_price,line_total
OI2000001,ORD1000000,PROD10130,Cedar Grove Cotton T-Shirt,Apparel,1,17.77,17.77
OI2000002,ORD1000000,PROD10124,Aurex Running Shoes,Apparel,1,44.32,44.32
OI2000003,ORD1000000,PROD10148,Marlow & Co Hooded Sweatshirt,Apparel,1,18.17,18.17
OI2000004,ORD1000001,PROD10554,Trueform Granola,Grocery,1,25.0,25.0
OI2000005,ORD1000001,PROD10213,Verdant Cutlery Set,Home & Kitchen,1,35.38,35.38
OI2000006,ORD1000001,PROD10561,Marlow & Co Spice Set,Grocery,1,19.21,19.21
OI2000007,ORD1000001,PROD10215,Nimbus Coffee Maker,Home & Kitchen,1,50.06,50.06
OI2000008,ORD1000002,PROD10068,Kensho Wireless Earbuds,Electronics,1,18.61,18.61
OI2000009,ORD1000002,PROD10255,Aurex Electric Toothbrush,Beauty & Personal Care,1,11.69,11.69
OI2000010,ORD1000002,PROD10060,Northline 4K Monitor,Electronics,1,147.37,147.37
OI2000011,ORD1000002,PROD10233,Bluepeak Electric Toothbrush,Beauty & Personal Care,1,20.89,20.89
OI2000012,ORD1000002,PROD10042,Halcyon USB-C Hub,Electronics,1,36.58,36.58
OI2000013,ORD1000002,PROD10270,Verdant Electric Toothbrush,Beauty & Personal Care,1,22.86,22.86
OI2000014,ORD1000003,PROD10593,Halcyon Olive Oil,Grocery,2,7.72,15.44
OI2000015,ORD1000003,PROD10340,Halcyon Yoga Mat,Sports & Outdoors,1,21.73,21.73
OI2000016,ORD1000004,PROD10068,Kensho Wireless Earbuds,Electronics,1,18.61,18.61
OI2000017,ORD1000004,PROD10162,Bluepeak Table Lamp,Home & Kitchen,1,64.39,64.39
OI2000018,ORD1000004,PROD10406,Trueform Self-Help Guide,Books,1,30.0,30.0
OI2000019,ORD1000004,PROD10031,Northline USB-C Hub,Electronics,1,16.55,16.55
OI2000020,ORD1000005,PROD10371,Aurex Yoga Mat,Sports & Outdoors,1,9.88,9.88
OI2000021,ORD1000006,PROD10138,Verdant Yoga Pants,APPAREL,1,15.4,15.4
OI2000022,ORD1000006,PROD10321,Verdant Jump Rope,Sports & Outdoors,1,6.0,6.0
OI2000023,ORD1000007,PROD10138,Verdant Yoga Pants,Apparel,2,15.4,30.8
OI2000024,ORD1000007,PROD10380,Marlow & Co Biography,Books,1,18.9,18.9
OI2000025,ORD1000007,PROD10495,Northline Card Game,Toys & Games,1,28.65,28.65
OI2000026,ORD1000007,PROD10076,Nimbus Leather Belt,Apparel,1,31.55,31.55
OI2000027,ORD1000007,PROD10436,Northline Mystery Novel,Books,1,24.09,24.09
OI2000028,ORD1000007,PROD10512,Northline Puzzle 1000pc,Toys & Games,1,12.49,12.49
OI2000029,ORD1000008,PROD10063,Trueform Power Bank,Electronics,1,18.28,18.28
OI2000030,ORD1000008,PROD10574,Verdant Sparkling Water Pack,Grocery,2,25.0,50.0
OI2000031,ORD1000008,PROD10458,Bluepeak Puzzle 1000pc,Toys & Games,1,49.59,49.59
OI2000032,ORD1000009,PROD10099,Cedar Grove Leather Belt,Apparel,1,24.93,24.93
OI2000033,ORD1000009,PROD10228,Kensho Facial Cleanser,Beauty & Personal Care,1,9.33,9.33
OI2000034,ORD1000009,PROD10096,Bluepeak Denim Jacket,Apparel,1,20.51,20.51
OI2000035,ORD1000009,PROD10281,Kensho Lip Balm Set,Beauty & Personal Care,1,12.64,12.64
OI2000036,ORD1000009,PROD10120,Halcyon Running Shoes,Apparel,2,52.38,104.76
OI2000037,ORD1000009,PROD10261,Cedar Grove Body Lotion,Beauty & Personal Care,1,19.08,19.08
OI2000038,ORD1000009,PROD10118,Cedar Grove Wool Sweater,Apparel,1,30.08,30.08
OI2000039,ORD1000010,PROD10101,Verdant Yoga Pants,Apparel,1,23.2,23.2
OI2000040,ORD1000010,PROD10121,Verdant Hooded Sweatshirt,Apparel,1,30.48,30.48
OI2000041,ORD1000010,PROD10121,Verdant Hooded Sweatshirt,Apparel,1,30.48,30.48
OI2000042,ORD1000011,PROD10484,Verdant Action Figure,Toys & Games,1,4.77,4.77
OI2000043,ORD1000012,PROD10148,Marlow & Co Hooded Sweatshirt,Apparel,1,18.17,18.17
OI2000044,ORD1000012,PROD10026,Northline Bluetooth Speaker,Electronics,1,29.48,29.48
OI2000045,ORD1000012,PROD10150,Bluepeak Wool Sweater,Apparel,1,53.04,53.04
OI2000046,ORD1000013,PROD10275,Verdant Lip Balm Set,Beauty & Personal Care,1,13.63,13.63
OI2000047,ORD1000013,PROD10214,Marlow & Co Coffee Maker,Home & Kitchen,1,73.93,73.93
OI2000048,ORD1000013,PROD10277,Verdant Electric Toothbrush,Beauty & Personal Care,1,40.0,40.0
OI2000049,ORD1000014,PROD10146,Marlow & Co Wool Sweater,Apparel,1,38.39,38.39
OI2000050,ORD1000015,PROD10495,Northline Card Game,Toys & Games,2,28.65,57.3
OI2000051,ORD1000015,PROD10110,Bluepeak Wool Sweater,Apparel,1,8.0,8.0
OI2000052,ORD1000015,PROD10456,Northline Plush Toy,Toys & Games,2,22.31,44.62
OI2000053,ORD1000016,PROD10434,Nimbus Children's Picture Book,Books,3,11.17,33.51
OI2000054,ORD1000016,PROD10388,Kensho History Bestseller,Books,1,30.0,30.0
OI2000055,ORD1000017,PROD10472,Nimbus Card Game,Toys & Games,1,25.52,25.52
OI2000056,ORD1000018,PROD10049,Bluepeak Power Bank,Electronics,1,15.0,15.0
OI2000057,ORD1000018,PROD10035,Northline USB-C Hub,Electronics,1,17.41,17.41
OI2000058,ORD1000019,PROD10597,Halcyon Honey Jar,Grocery,1,25.0,25.0
OI2000059,ORD1000020,PROD10422,Nimbus Cookbook,Books,1,30.0,30.0
OI2000060,ORD1000021,PROD10318,Kensho Yoga Mat,Sports & Outdoors,1,25.01,25.01
OI2000061,ORD1000021,PROD10418,Nimbus Children's Picture Book,Books,2,8.78,17.56
OI2000062,ORD1000021,PROD10337,Northline Resistance Bands,Sports & Outdoors,1,7.3,7.3
OI2000063,ORD1000021,PROD10442,Kensho Poetry Collection,Books,1,26.9,26.9
OI2000064,ORD1000022,PROD10445,Bluepeak Biography,Books,1,19.07,19.07
OI2000065,ORD1000022,PROD10430,Verdant Travel Guide,Books,1,30.0,30.0
OI2000066,ORD1000022,PROD10381,Halcyon Poetry Collection,Books,1,,
OI2000067,ORD1000022,PROD10387,Halcyon Poetry Collection,Books,1,17.1,17.1
OI2000068,ORD1000022,PROD10396,Marlow & Co Self-Help Guide,Books,1,12.56,12.56
OI2000069,ORD1000023,PROD10418,Nimbus Children's Picture Book,Books,1,8.78,8.78
OI2000070,ORD1000023,PROD10230,Nimbus Facial Cleanser,Beauty & Personal Care,1,25.54,25.54
OI2000071,ORD1000024,PROD10097,Trueform Running Shoes,Apparel,1,27.4,27.4
OI2000072,ORD1000024,PROD10150,Bluepeak Wool Sweater,Apparel,1,53.04,53.04
OI2000073,ORD1000025,PROD10459,Kensho Action Figure,Toys & Games,1,22.91,22.91
OI2000074,ORD1000025,PROD10453,Kensho Outdoor Playset,Toys & Games,1,30.68,30.68
OI2000075,ORD1000026,PROD10419,Nimbus Business Strategy Book,Books,1,20.6,20.6
OI2000076,ORD1000027,PROD10077,Halcyon Denim Jacket,Apparel,1,57.16,57.16
OI2000077,ORD1000028,PROD10132,Aurex Yoga Pants,Apparel,1,30.94,30.94
OI2000078,ORD1000028,PROD10542,Bluepeak Spice Set,Grocery,1,25.0,25.0
OI2000079,ORD1000028,PROD10092,Northline Leather Belt,Apparel,1,15.28,15.28
OI2000080,ORD1000029,PROD10036,Cedar Grove Wireless Earbuds,Electronics,1,26.13,26.13
OI2000081,ORD1000029,PROD10124,Aurex Running Shoes,Apparel,1,44.32,44.32
OI2000082,ORD1000029,PROD10019,Cedar Grove Power Bank,Electronics,1,32.53,32.53
OI2000083,ORD1000029,PROD10141,Marlow & Co Hooded Sweatshirt,Apparel,1,60.0,60.0
OI2000084,ORD1000029,PROD10033,Kensho USB-C Hub,Electronics,1,15.28,15.28
OI2000085,ORD1000030,PROD10334,Nimbus Sleeping Bag,Sports & Outdoors,1,26.07,26.07
OI2000086,ORD1000030,PROD10071,Northline Wireless Earbuds,Electronics,2,15.0,30.0
OI2000087,ORD1000030,PROD10331,Aurex Sleeping Bag,Sports & Outdoors,1,21.89,21.89
OI2000088,ORD1000030,PROD10023,Verdant Bluetooth Speaker,Electronics,1,15.0,15.0
OI2000089,ORD1000031,PROD10235,Marlow & Co Lip Balm Set,Beauty & Personal Care,3,25.71,77.13
OI2000090,ORD1000031,PROD10281,Kensho Lip Balm Set,Beauty & Personal Care,1,12.64,12.64
OI2000091,ORD1000031,PROD10229,Northline Electric Toothbrush,Beauty & Personal Care,1,8.81,8.81
OI2000092,ORD1000032,PROD10218,Aurex Storage Bins,Home & Kitchen,1,35.61,35.61
OI2000093,ORD1000032,PROD10274,Bluepeak Shampoo,Beauty & Personal Care,1,22.2,22.2
OI2000094,ORD1000033,PROD10547,Verdant Sparkling Water Pack,Grocery,1,19.17,19.17
OI2000095,ORD1000033,PROD10417,Kensho Business Strategy Book,Books,1,30.0,30.0
OI2000096,ORD1000033,PROD10024,Aurex Mechanical Keyboard,Electronics,1,28.11,28.11
OI2000097,ORD1000033,PROD10578,Cedar Grove Organic Coffee Beans,Grocery,1,25.0,25.0
OI2000098,ORD1000034,PROD10098,Verdant Slim Fit Jeans,Apparel,2,26.44,52.88
OI2000099,ORD1000034,PROD10586,Verdant Protein Bar Case,Grocery,1,25.0,25.0
OI2000100,ORD1000034,PROD10448,Verdant Children's Picture Book,Books,1,30.0,30.0
OI2000101,ORD1000035,PROD10591,Aurex Protein Bar Case,Grocery,2,25.0,50.0
OI2000102,ORD1000035,PROD10510,Northline Board Game,Toys & Games,1,26.4,26.4
OI2000103,ORD1000035,PROD10555,Cedar Grove Granola,Grocery,1,25.0,25.0
OI2000104,ORD1000036,PROD10186,Bluepeak Bath Towel Set,Home & Kitchen,1,16.83,16.83
OI2000105,ORD1000036,PROD10387,Halcyon Poetry Collection,Books,1,17.1,17.1
OI2000106,ORD1000037,PROD10571,Nimbus Trail Mix,Grocery,1,11.97,11.97
OI2000107,ORD1000038,PROD10394,Nimbus Biography,Books,2,9.62,19.24
OI2000108,ORD1000038,PROD10116,Aurex Cotton T-Shirt,Apparel,1,39.63,39.63
OI2000109,ORD1000039,PROD10384,Nimbus Business Strategy Book,Books,1,24.6,24.6
OI2000110,ORD1000039,PROD10416,Bluepeak Mystery Novel,Books,1,26.39,26.39
OI2000111,ORD1000039,PROD10404,Northline History Bestseller,Books,1,11.38,11.38
OI2000112,ORD1000039,PROD10389,Verdant Children's Picture Book,Books,1,9.65,9.65
OI2000113,ORD1000039,PROD10438,Nimbus Poetry Collection,Books,1,30.0,30.0
OI2000114,ORD1000040,PROD10219,Nimbus Blender,Home & Kitchen,1,26.79,26.79
OI2000115,ORD1000041,PROD10499,Nimbus Educational Tablet Toy,Toys & Games,1,26.55,26.55
OI2000116,ORD1000041,PROD10263,Bluepeak Electric Toothbrush,Beauty & Personal Care,1,40.0,40.0
OI2000117,ORD1000041,PROD10368,Marlow & Co Foam Roller,Sports & Outdoors,1,12.6,12.6
