product_id,product_name,category,brand,unit_price,unit_cost,avg_rating,active
PROD10001,Kensho Bluetooth Speaker,Electronics,Kensho,22.93,10.66,4.4,True
PROD10002,Trueform Power Bank,Electronics,Trueform,32.71,17.0,3.2,True
PROD10003,Nimbus Router,Electronics,Nimbus,39.71,22.08,4.9,True
PROD10004,Bluepeak Noise-Cancelling Headphones,Electronics,Bluepeak,44.28,30.04,4.2,True
PROD10005,Northline Mechanical Keyboard,Electronics,Northline,38.41,20.76,4.3,True
PROD10006,Trueform Noise-Cancelling Headphones,Electronics,Trueform,57.98,33.59,4.3,True
PROD10007,Bluepeak Bluetooth Speaker,Electronics,Bluepeak,38.56,23.44,3.3,True
PROD10008,Northline Noise-Cancelling Headphones,Electronics,Northline,16.67,11.03,4.5,True
PROD10009,Trueform Smart Watch,Electronics,Trueform,26.67,17.89,4.1,True
PROD10010,Cedar Grove Router,Electronics,Cedar Grove,17.96,9.44,3.4,True
PROD10011,Nimbus Mechanical Keyboard,Electronics,Nimbus,46.54,21.43,4.2,False
PROD10012,Halcyon 4K Monitor,Electronics,Halcyon,27.73,15.75,4.2,True
PROD10013,Halcyon Router,Electronics,Halcyon,44.58,26.73,4.4,True
PROD10014,Bluepeak Wireless Earbuds,Electronics,Bluepeak,38.79,25.93,3.4,True
PROD10015,Cedar Grove Bluetooth Speaker,Electronics,Cedar Grove,37.52,20.87,4.4,True
PROD10016,Northline Smart Watch,Electronics,Northline,23.15,13.63,4.8,True
PROD10017,Halcyon Router,Electronics,Halcyon,17.24,7.92,4.0,True
PROD10018,Halcyon Noise-Cancelling Headphones,Electronics,Halcyon,15.0,9.46,3.6,False
PROD10019,Cedar Grove Power Bank,Electronics,Cedar Grove,32.53,15.52,4.2,True
PROD10020,Aurex 4K Monitor,Electronics,Aurex,30.94,15.68,4.4,True
PROD10021,Nimbus Bluetooth Speaker,Electronics,Nimbus,19.98,12.95,4.2,True
PROD10022,Cedar Grove Bluetooth Speaker,Electronics,Cedar Grove,44.23,25.3,4.1,True
PROD10023,Verdant Bluetooth Speaker,Electronics,Verdant,15.0,7.27,4.2,False
PROD10024,Aurex Mechanical Keyboard,Electronics,Aurex,28.11,13.43,4.2,True
PROD10025,Bluepeak Bluetooth Speaker,Electronics,Bluepeak,37.52,21.81,3.7,False
PROD10026,Northline Bluetooth Speaker,Electronics,Northline,29.48,18.16,3.7,True
PROD10027,Marlow & Co Router,Electronics,Marlow & Co,53.54,35.7,3.3,True
PROD10028,Bluepeak Mechanical Keyboard,Electronics,Bluepeak,19.39,10.19,4.0,True
PROD10029,Halcyon Power Bank,Electronics,Halcyon,45.53,24.96,3.8,True
PROD10030,Bluepeak USB-C Hub,Electronics,Bluepeak,24.72,11.27,3.6,True
PROD10031,Northline USB-C Hub,Electronics,Northline,16.55,11.14,4.3,True
PROD10032,Trueform Router,Electronics,Trueform,25.19,16.96,4.7,True
PROD10033,Kensho USB-C Hub,Electronics,Kensho,15.28,9.46,4.4,True
PROD10034,Verdant Webcam,Electronics,Verdant,42.97,28.09,4.0,True
PROD10035,Northline USB-C Hub,Electronics,Northline,17.41,10.22,3.7,True
PROD10036,Cedar Grove Wireless Earbuds,Electronics,Cedar Grove,26.13,12.84,3.6,True
PROD10037,Trueform Wireless Earbuds,Electronics,Trueform,15.0,9.12,4.5,True
PROD10038,Aurex Webcam,Electronics,Aurex,18.49,10.75,4.6,True
PROD10039,Northline Noise-Cancelling Headphones,Electronics,Northline,34.95,23.57,4.4,True
PROD10040,Trueform Bluetooth Speaker,Electronics,Trueform,32.8,18.05,4.2,True
PROD10041,Verdant Noise-Cancelling Headphones,Electronics,Verdant,39.86,19.5,4.2,True
PROD10042,Halcyon USB-C Hub,Electronics,Halcyon,36.58,19.87,3.8,True
PROD10043,Bluepeak USB-C Hub,Electronics,Bluepeak,15.08,6.8,5.0,True
PROD10044,Kensho 4K Monitor,Electronics,Kensho,27.82,15.11,4.4,False
PROD10045,Cedar Grove 4K Monitor,Electronics,Cedar Grove,26.53,14.5,,False
PROD10046,Northline Wireless Earbuds,Electronics,Northline,39.0,19.47,3.9,True
PROD10047,Bluepeak Power Bank,Electronics,Bluepeak,19.82,9.41,4.1,True
PROD10048,Kensho USB-C Hub,Electronics,Kensho,29.99,15.75,3.9,True
PROD10049,Bluepeak Power Bank,Electronics,Bluepeak,15.0,7.34,3.8,True
PROD10050,Bluepeak Webcam,Electronics,Bluepeak,15.0,6.95,4.5,False
PROD10051,Verdant Smart Watch,Electronics,Verdant,26.06,15.84,4.4,False
PROD10052,Cedar Grove Smart Watch,Electronics,Cedar Grove,15.76,8.59,4.1,True
PROD10053,Cedar Grove Bluetooth Speaker,Electronics,Cedar Grove,15.0,8.6,5.0,True
PROD10054,Trueform Router,Electronics,Trueform,25.9,12.79,3.9,True
PROD10055,Cedar Grove Noise-Cancelling Headphones,Electronics,Cedar Grove,26.32,17.82,4.9,True
PROD10056,Nimbus Power Bank,Electronics,Nimbus,23.01,13.92,4.1,False
PROD10057,Trueform Smart Watch,Electronics,Trueform,25.7,15.84,4.4,True
PROD10058,Nimbus Noise-Cancelling Headphones,Electronics,Nimbus,30.85,15.71,4.4,False
PROD10059,Cedar Grove Bluetooth Speaker,Electronics,Cedar Grove,19.99,13.07,4.3,True
PROD10060,Northline 4K Monitor,Electronics,Northline,147.37,,4.0,False
PROD10061,Verdant Noise-Cancelling Headphones,Electronics,Verdant,43.72,22.93,4.4,True
PROD10062,Kensho Noise-Cancelling Headphones,Electronics,Kensho,15.02,9.93,4.3,False
